Frequency (Hz),Magnitude
2.0,47.601181
2.0,57.738804
2.0,54.05225
2.0,51.441578
2.0,52.057964
2.0,61.182232
2.0,44.1908
2.0,55.2131
3.0,58.937283
3.0,55.999226
3.0,50.479195
3.0,54.679462
3.0,47.625645
3.0,59.305447
3.0,53.980618
3.0,49.300385
4.0,56.670929
4.0,54.254097
4.0,49.125935
4.0,57.436481
4.0,54.367702
4.0,53.732346
4.0,51.899899
4.0,56.792896
5.0,47.286461
5.0,56.451054
5.0,51.911404
5.0,54.805496
5.0,53.15802
5.0,52.232838
5.0,57.821266
5.0,49.010212
5.0,55.396656
6.0,49.410286
6.0,59.06292
6.0,52.147774
6.0,49.002628
6.0,51.640057
6.0,54.364433
6.0,59.283768
6.0,46.667713
7.0,62.611095
7.0,45.977947
7.0,54.780876
7.0,56.849049
7.0,48.807552
7.0,57.633316
7.0,52.299274
7.0,55.094093
8.0,48.024437
8.0,61.61948
8.0,47.068043
8.0,59.327774
8.0,53.121998
8.0,49.595528
8.0,55.980408
8.0,55.551434
9.0,50.695026
9.0,52.195309
9.0,55.836033
9.0,54.233921
9.0,50.477749
9.0,52.373253
9.0,52.026623
9.0,58.128868
10.0,52.885525
10.0,54.873966
10.0,51.066921
10.0,54.559937
10.0,52.118462
10.0,53.485584
10.0,52.340584
10.0,56.600197
10.0,46.412449
11.0,59.397774
11.0,50.212334
11.0,54.750668
11.0,56.090256
11.0,55.84972
11.0,47.423683
11.0,55.188709
11.0,55.131153
12.0,50.457253
12.0,55.62326
12.0,51.672401
12.0,53.824593
12.0,59.028862
12.0,45.93055
12.0,56.798107
12.0,52.713383
13.0,58.626369
13.0,46.191101
13.0,59.110336
13.0,48.037804
13.0,55.046688
13.0,53.616329
13.0,53.155865
13.0,54.519932
14.0,51.070412
14.0,54.726719
14.0,51.330387
14.0,53.709438
14.0,57.383331
14.0,50.865303
14.0,54.913685
14.0,49.148815
15.0,56.294773
15.0,50.619537
15.0,57.86834
15.0,46.642971
15.0,56.833878
15.0,56.615894
15.0,50.300095
15.0,53.594391
15.0,56.06826
16.0,52.696484
16.0,54.100254
16.0,52.822964
16.0,51.041107
16.0,54.384506
16.0,54.550087
16.0,51.700581
16.0,57.05505
17.0,52.71875
17.0,51.842941
17.0,54.043133
17.0,53.123135
17.0,52.865162
17.0,55.029865
17.0,51.762878
17.0,52.358875
18.0,52.285522
18.0,57.043476
18.0,53.333389
18.0,52.285568
18.0,52.810787
18.0,53.800243
18.0,54.051071
18.0,51.412498
19.0,55.132408
19.0,51.085037
19.0,57.416222
19.0,49.698734
19.0,52.929916
19.0,55.55027
19.0,51.633835
19.0,54.540981
20.0,54.181969
20.0,54.097279
20.0,51.345623
20.0,56.033195
20.0,51.277409
20.0,53.298534
20.0,56.326416
20.0,50.127186
20.0,55.077984
21.0,50.385872
21.0,55.919567
21.0,53.515697
21.0,55.275425
21.0,50.630638
21.0,53.724487
21.0,54.480171
21.0,51.741432
22.0,53.208076
22.0,53.214321
22.0,54.15781
22.0,52.670078
22.0,52.345638
22.0,55.521843
22.0,51.419926
22.0,55.34288
23.0,52.409584
23.0,53.893261
23.0,52.428391
23.0,54.117897
23.0,51.525852
23.0,55.324753
23.0,53.125561
23.0,53.149166
24.0,53.751476
24.0,53.48428
24.0,51.225376
24.0,56.759377
24.0,52.889553
24.0,52.226505
24.0,53.344864
24.0,53.49501
25.0,53.381493
25.0,53.705494
25.0,53.125076
25.0,53.082809
25.0,53.853916
25.0,52.995304
25.0,52.408226
25.0,55.696308
26.0,51.5536
26.0,54.861362
26.0,51.53487
26.0,54.672913
26.0,51.723663
26.0,54.013306
26.0,53.612022
26.0,52.909672
26.0,54.000778
27.0,53.721367
27.0,53.049488
27.0,52.381935
27.0,54.638535
27.0,53.350426
27.0,52.699257
27.0,53.780624
27.0,51.368206
28.0,55.570461
28.0,52.811249
28.0,53.556068
28.0,53.188324
28.0,54.370079
28.0,52.048248
28.0,53.415863
28.0,54.240604
29.0,52.497162
29.0,53.866329
29.0,53.029987
29.0,53.002434
29.0,53.565041
29.0,53.33025
29.0,53.391346
29.0,53.173962
30.0,53.500507
30.0,53.079937
30.0,53.709492
30.0,53.069145
30.0,52.992867
30.0,53.730751
30.0,53.796471
30.0,52.747124
31.0,52.96703
31.0,53.666367
31.0,53.676979
31.0,53.099213
31.0,53.886322
31.0,53.020798
31.0,53.199184
31.0,53.7752
31.0,52.726952
32.0,53.833637
32.0,53.301373
32.0,53.192799
32.0,52.948292
32.0,53.885979
32.0,52.938828
32.0,53.44413
32.0,54.08102
33.0,52.444321
33.0,53.583908
33.0,53.467205
33.0,53.367516
33.0,52.896935
33.0,53.645153
33.0,53.648315
33.0,52.894245
34.0,53.704632
34.0,52.739029
34.0,53.844585
34.0,53.292614
34.0,53.686977
34.0,52.919411
34.0,53.173252
34.0,53.779636
35.0,52.899555
35.0,53.620476
35.0,53.304283
35.0,53.098354
35.0,53.594955
35.0,53.316254
35.0,53.023273
35.0,53.864483
36.0,53.300442
36.0,53.074715
36.0,53.503593
36.0,53.460392
36.0,53.055576
36.0,53.256458
36.0,53.43174
36.0,53.270866
36.0,53.844223
37.0,52.818199
37.0,53.493256
37.0,53.288059
37.0,53.932354
37.0,52.849087
37.0,53.364536
37.0,53.427856
37.0,53.260529
38.0,53.248455
38.0,53.287037
38.0,53.597507
38.0,53.255245
38.0,53.373165
38.0,53.388676
38.0,53.02029
38.0,53.773602
39.0,52.985912
39.0,53.838333
39.0,52.966434
39.0,53.446457
39.0,53.229416
39.0,53.657909
39.0,52.869587
39.0,53.583679
40.0,53.544395
40.0,53.062035
40.0,53.4263
40.0,53.462883
40.0,53.312031
40.0,53.498142
40.0,53.236988
40.0,53.410587
41.0,53.134937
41.0,53.457485
41.0,53.267994
41.0,53.58815
41.0,53.202091
41.0,53.287716
41.0,53.393253
41.0,53.390446
41.0,53.330788
42.0,53.074772
42.0,53.66386
42.0,53.219627
42.0,53.252239
42.0,53.361069
42.0,53.604824
42.0,53.330418
42.0,53.304138
43.0,53.560448
43.0,53.107681
43.0,53.342438
43.0,53.290585
43.0,53.301239
43.0,53.575909
43.0,53.186104
43.0,53.25148
44.0,53.551285
44.0,53.08931
44.0,53.856651
44.0,53.115791
44.0,53.363865
44.0,53.348942
44.0,53.541649
44.0,53.17606
45.0,53.256016
45.0,53.588993
45.0,53.23201
45.0,53.32032
45.0,53.159355
45.0,53.379242
45.0,53.629971
45.0,53.240341
46.0,53.355526
46.0,53.140617
46.0,53.683949
46.0,53.140869
46.0,53.203316
46.0,53.304722
46.0,53.468376
46.0,53.293377
46.0,53.250774
47.0,53.382652
47.0,53.281609
47.0,53.577599
47.0,53.2327
47.0,53.308372
47.0,53.422546
47.0,53.403904
47.0,53.221497
48.0,53.500469
48.0,53.466522
48.0,53.226864
48.0,53.516315
48.0,53.251808
48.0,53.209507
48.0,53.619991
48.0,53.323917
49.0,53.101757
49.0,53.334404
49.0,53.411674
49.0,53.355068
49.0,53.236309
49.0,53.353672
49.0,53.288708
49.0,53.428967
50.0,53.312057
50.0,53.246143
50.0,53.300743
50.0,53.602272
50.0,53.13364
50.0,53.232922
50.0,53.54467
50.0,53.253281
51.0,53.438061
51.0,53.380009
51.0,53.233421
51.0,53.328041
51.0,53.591999
51.0,53.161526
51.0,53.319565
51.0,53.425449
52.0,53.535957
52.0,53.185619
52.0,53.298981
52.0,53.210613
52.0,53.595188
52.0,53.22662
52.0,53.245716
52.0,53.416714
52.0,53.532955
53.0,53.212002
53.0,53.214359
53.0,53.614574
53.0,53.169044
53.0,53.430622
53.0,53.34341
53.0,53.370224
53.0,53.303699
54.0,53.341312
54.0,53.428371
54.0,53.11842
54.0,53.654854
54.0,53.203064
54.0,53.305264
54.0,53.253899
54.0,53.549606
55.0,53.195724
55.0,53.457428
55.0,53.195461
55.0,53.376026
55.0,53.37067
55.0,53.344097
55.0,53.361187
55.0,53.364819
56.0,53.251152
56.0,53.274036
56.0,53.514526
56.0,53.226212
56.0,53.330124
56.0,53.383602
56.0,53.330067
56.0,53.348442
57.0,53.41589
57.0,53.186935
57.0,53.55051
57.0,53.308083
57.0,53.309425
57.0,53.378235
57.0,53.236946
57.0,53.398018
57.0,53.307163
58.0,53.275532
58.0,53.439404
58.0,53.399326
58.0,53.239582
58.0,53.361382
58.0,53.503613
58.0,53.240055
58.0,53.276047
59.0,53.333736
59.0,53.450291
59.0,53.172153
59.0,53.31078
59.0,53.45948
59.0,53.363132
59.0,53.168209
59.0,53.41658
60.0,53.328903
60.0,53.445477
60.0,53.261921
60.0,53.265167
60.0,53.347965
60.0,53.518745
60.0,53.202908
60.0,53.284569
61.0,53.543152
61.0,53.279751
61.0,53.39946
61.0,53.280006
61.0,53.274658
61.0,53.356182
61.0,53.498817
61.0,53.260662
62.0,53.372746
62.0,53.31694
62.0,53.345024
62.0,53.444481
0.0,275.316284
0.0,118.745499
0.0,0.911674
0.0,1.336416
0.0,0.610488
0.0,0.375445
0.0,0.70366
0.0,1.084743
0.0,0.561509
1.0,2.423636
1.0,6.547525
